429 485 3
101 471 3
308 178 4
847 1050 3
732 938 1
128 48 4
28 609 3
654 28 5
456 1218 3
830 241 4
133 271 5
145 552 5
731 170 5
25 82 4
254 451 2
235 684 4
890 530 4
325 345 3
868 452 2
291 31 4
748 187 4
664 196 4
389 53 2
13 204 5
727 202 4
904 739 4
757 100 3
524 1048 4
414 340 4
903 96 2
430 10 4
861 937 4
321 491 3
612 259 3
880 394 3
345 1226 3
279 391 5
374 164 4
897 483 3
833 1214 4
435 584 3
921 1317 2
634 823 3
870 42 2
620 834 2
61 301 1
321 134 3
276 709 4
875 753 3
458 980 5
864 31 4
748 286 3
674 827 4
299 432 3
389 612 4
343 499 5
42 265 3
10 511 4
302 358 3
455 778 4
592 652 4
851 840 3
406 727 3
312 676 3
409 511 5
668 82 4
293 69 3
435 136 4
147 339 5
711 1285 3
693 509 3
249 568 4
7 241 4
389 79 4
747 693 5
752 1243 4
416 305 3
907 462 4
606 713 4
514 483 4
776 551 3
31 1021 3
64 269 5
614 117 3
90 821 3
806 856 5
541 432 4
877 241 4
850 196 3
102 258 4
269 412 3
293 491 4
203 93 4
261 259 4
826 501 3
655 995 3
426 968 3
532 842 4
425 448 2
238 405 4
345 56 5
303 147 4
618 239 3
173 306 5
537 1134 3
577 472 4
213 42 5
606 477 4
417 326 4
715 399 2
796 5 4
407 289 3
405 1554 4
862 141 4
429 178 4
259 294 3
627 520 5
312 482 5
880 405 4
855 60 3
524 1421 5
189 196 5
151 318 5
665 240 5
416 17 2
471 477 5
145 892 2
835 735 5
11 260 1
671 79 2
805 111 3
846 1540 3
851 326 3
585 286 4
815 125 5
766 186 3
900 183 3
815 528 5
348 276 3
13 66 3
759 294 5
701 50 5
648 238 3
627 810 3
798 163 3
23 713 4
829 250 3
62 4 4
846 524 3
346 203 4
21 680 1
65 239 5
92 38 3
770 875 4
62 229 3
393 732 4
320 4 3
345 393 3
361 97 4
514 157 4
807 174 5
721 181 5
267 77 3
167 133 5
788 164 3
916 156 5
733 1142 4
323 64 5
38 122 1
860 1602 3
894 280 3
660 38 2
429 808 3
565 462 4
746 121 3
304 310 3
474 323 2
479 300 2
181 122 2
470 294 3
798 112 3
75 79 5
782 890 1
432 100 3
97 96 5
488 31 4
327 405 2
38 69 5
312 28 4
130 890 4
913 289 5
800 15 4
7 683 4
279 1087 2
807 541 4
642 78 3
193 301 4
7 483 4
448 269 5
307 91 4
325 505 4
152 393 5
489 268 2
570 340 3
379 191 5
221 578 4
658 515 5
109 82 5
708 294 3
596 682 4
688 341 5
394 1079 3
117 143 1
715 2 3
880 64 5
545 266 2
197 210 5
734 198 1
343 156 4
648 665 2
802 448 3
533 177 4
442 31 3
557 294 3
749 511 4
92 518 5
524 518 3
130 276 4
130 100 3
297 153 5
55 79 5
327 211 3
222 1439 3
747 1015 4
634 1284 3
222 17 2
178 77 4
357 742 4
656 875 2
648 373 3
383 504 4
707 499 4
465 428 3
325 2 1
837 289 5
890 7 4
846 54 3
437 203 1
780 172 5
417 388 3
87 1041 4
250 325 4
705 826 4
